ResourceID,External Cross Reference Notes,Storage Area Name,Journal or Series Volume Description,Title Type,Quantity,Contributor,Publisher Name,Creator,Road or Street Name,Archive Description Type,Repository Name,Subjects,Archive End Date,Journal or Series Name,Resource ID,Copyright Description,Archive Description text,Extent Measurement Unit,Amender,Archive Start Date,Number in Road or Street,Archive Source Format,Source Title,Archive Source Type,Publication Location Name,Periods,External Cross Reference Number,Language,Postal Code,Language,External Cross Reference Source,Copyright Type,Journal or Series Pages,Date of Publication,File,Statement of Responsibility
6368556a-5f15-4871-8feb-b37f1fab3cb9,,,,,,,Lincoln Corporation MSS,,,,,,,,,,,,,,,,White Book of Lincoln,Manuscript,,,509,,,,Lincoln Heritage Database Sources,,,,,
63b1cb64-dd10-4f1a-a7ad-b7d0e5464fc7,,,,,,,,,,,,,,,,,,,,,,,"Plan of a piece of land situate hear Mr Keyworths Wharf in the City of Lincoln, with the adjoining lands etc, surveyed Jan 2nd 1829",Map,,,1805,,,,Lincoln Heritage Database Sources,,,1829,,"Kley, J. S."
63ee360e-bc09-488b-b915-c8bb3f974c92,,,,,,,City of Lincoln Corporation,,,,,,,,,,,,,,,,The City of Lincoln insignia,Photocopy,,,2941,,,,Lincoln Heritage Database Sources,,,1964,,"Hill, Sir F."
645be6e8-2b63-493c-98a2-d76e3d726d4d,,,,,,,,,,,,,,,,,,,,,,,Roman Lincoln; the cemeteries,Manuscript,,,1431,,,,Lincoln Heritage Database Sources,,,,,"Coppack, G."
648cf303-3b26-4c35-977c-93ad97df0cc1,,,,,,,,,,,,,,,,,,,,,,,The Ancient Suburb of Newport Lincoln and The Parishes of St Nicholas and St John Baptist,Picture,,,1448,,,,Lincoln Heritage Database Sources,,,,,"Peltor, Rev. L. F."
650cbc24-513b-47fd-a3d2-baf5ead3381a,,,,,,,Society of Antiquaries,,,,,,,,,,,,,,,,"Notes, drawings etc on Lincoln and Lincolnshire antiquities, etc",Manuscript,,,539,,,,Lincoln Heritage Database Sources,,,,,Willson Collection
6852338f-51ff-4d6f-aafe-db9d92a62b7b,,,,,,,,,,,,,,,,,,,,,,,Newport Arch from the south,Engraving,,,2554,,,,Lincoln Heritage Database Sources,,,1773,,Godfrey
69dbabb0-7c93-401a-8670-54146b7ee90d,,,,,,,,,,,,,,,,,,,,,,,"Plan of The Close, Lincoln",Map,,,2131,,,,Lincoln Heritage Database Sources,,,1869,,"Padley, J. S."
6bc8b213-9084-4342-8511-3c272feff53b,,,,,,,,,,,,,,,,,,,,,,,"Plan and Section of the ROAD 100 yards each side of BAR GATE BRIDGE; in the PARISH of St. BOTOLPH, in the City of Lincoln.",Map,,,1476,,,,Lincoln Heritage Database Sources,,,1833,,
703b3c0c-db67-4f43-83f2-9e4a0e9616c6,,,,,,,,,,,,,,,,,,,,,,,Historical Record of dates of construction etc. Internal document at DP Lincoln City Council. Typescript,Manuscript,,,1536,,,,Lincoln Heritage Database Sources,,,1938,,Lincoln Corporation City Engineers
72197a67-e00d-4c72-b239-5e17b1c77338,,,,,,,,,,,,,1786,,,,,,,1784,,,"Lincoln, Bishops Palace.",Drawing,,,2640,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
